Day,Firstdate,Nusers,Mean_dr,Sum_dr,Date
551,2018-01-09,2445, 29.731206519038107, 72692.79993904817,2019-07-14
552,2018-01-09,2457, 29.77683430079792, 73161.68187706049,2019-07-15
553,2018-01-09,2471, 29.77005666788688, 73561.81002634848,2019-07-16
554,2018-01-09,2487, 29.64928716066703, 73737.7771685789,2019-07-17
555,2018-01-09,2524, 29.369732268286096, 74129.2042451541,2019-07-18
556,2018-01-09,2541, 29.667375332862665, 75384.80072080404,2019-07-19
557,2018-01-09,2548, 29.597473730703573, 75414.3630658327,2019-07-20
558,2018-01-09,2544, 29.297442346752405, 74532.69333013812,2019-07-21
559,2018-01-09,2545, 29.22060624693874, 74366.44289845909,2019-07-22
560,2018-01-09,2555, 29.201911453468213, 74610.88376361129,2019-07-23
561,2018-01-09,2573, 29.426752745063936, 75715.03481304951,2019-07-24
562,2018-01-09,2604, 29.49332672035426, 76800.62277980249,2019-07-25
563,2018-01-09,2620, 29.51298330836969, 77324.01626792859,2019-07-26
564,2018-01-09,2608, 29.21031073314895, 76180.49039205247,2019-07-27
565,2018-01-09,2612, 28.93569867100912, 75580.04492867582,2019-07-28
566,2018-01-09,2624, 28.890094895712565, 75807.60900634977,2019-07-29
567,2018-01-09,2612, 27.993317415437758, 73118.54508912342,2019-07-30
568,2018-01-09,2623, 28.38990942301514, 74466.73241656872,2019-07-31
569,2018-01-09,2624, 28.527744136201985, 74856.800613394,2019-08-01
570,2018-01-09,2638, 28.54602953106261, 75304.42590294317,2019-08-02
571,2018-01-09,2650, 28.45824719471366, 75414.3550659912,2019-08-03
572,2018-01-09,2675, 28.628080466336954, 76580.11524745135,2019-08-04
573,2018-01-09,2697, 28.788070466842083, 77641.4260490731,2019-08-05
574,2018-01-09,2701, 28.871481181395925, 77981.87067095039,2019-08-06
575,2018-01-09,2716, 29.016669001770303, 78809.27300880814,2019-08-07
576,2018-01-09,2736, 29.13328380704342, 79708.66449607079,2019-08-08
577,2018-01-09,2754, 29.397776839712037, 80961.47741656695,2019-08-09
578,2018-01-09,2777, 29.82297742358094, 82818.40830528428,2019-08-10
579,2018-01-09,2766, 30.121885924215125, 83317.13646637903,2019-08-11
580,2018-01-09,2777, 30.429780181292507, 84503.4995634493,2019-08-12
581,2018-01-09,2789, 30.385759970464424, 84745.88455762528,2019-08-13
582,2018-01-09,2791, 30.43983539406473, 84957.58058483466,2019-08-14
583,2018-01-09,2812, 30.20817943400949, 84945.40056843469,2019-08-15
584,2018-01-09,2820, 30.21255316134322, 85199.39991498788,2019-08-16
585,2018-01-09,2823, 30.067574169348305, 84880.76188007026,2019-08-17
586,2018-01-09,2811, 29.82424947836453, 83835.96528368269,2019-08-18
587,2018-01-09,2809, 29.606681385466253, 83165.1680117747,2019-08-19
588,2018-01-09,2785, 29.496527667658658, 82147.82955442937,2019-08-20
589,2018-01-09,2775, 29.15567883695052, 80907.0087725377,2019-08-21
590,2018-01-09,2771, 29.22782411850267, 80990.3006323709,2019-08-22
591,2018-01-09,2791, 29.2864505909023, 81738.48359920832,2019-08-23
592,2018-01-09,2774, 29.124959267143865, 80792.63700705708,2019-08-24
593,2018-01-09,2758, 29.025825047252155, 80053.22548032145,2019-08-25
594,2018-01-09,2740, 28.73559854341339, 78735.54000895268,2019-08-26
595,2018-01-09,2729, 28.631380563230454, 78135.03755705591,2019-08-27
596,2018-01-09,2732, 28.297313861530377, 77308.26146970098,2019-08-28
597,2018-01-09,2702, 28.249270669660785, 76329.52934942344,2019-08-29
598,2018-01-09,2688, 28.183043324693976, 75756.0204567774,2019-08-30
599,2018-01-09,2698, 28.028635182287147, 75621.25772181072,2019-08-31
600,2018-01-09,2686, 27.66424514029109, 74306.16244682187,2019-09-01
601,2018-01-09,2672, 27.613095702151718, 73782.19171614939,2019-09-02
602,2018-01-09,2665, 27.35642574862671, 72904.87462009018,2019-09-03
603,2018-01-09,2660, 27.154998654091788, 72232.29641988415,2019-09-04
604,2018-01-09,2676, 26.979900352720737, 72198.21334388069,2019-09-05
605,2018-01-09,2670, 27.024512126657047, 72155.44737817431,2019-09-06
606,2018-01-09,2666, 27.03631314800162, 72078.81085257232,2019-09-07
607,2018-01-09,2658, 26.708559942242413, 70991.35232648034,2019-09-08
608,2018-01-09,2645, 26.82984918334123, 70964.95108993756,2019-09-09
609,2018-01-09,2634, 26.63057653273759, 70144.9385872308,2019-09-10
610,2018-01-09,2625, 26.615862132208267, 69866.6380970467,2019-09-11
611,2018-01-09,2615, 26.63286428679525, 69644.94010996958,2019-09-12
612,2018-01-09,2596, 26.76200841423746, 69474.17384336045,2019-09-13
613,2018-01-09,2596, 26.69340900184769, 69296.0897687966,2019-09-14
614,2018-01-09,2579, 26.642037537451042, 68709.81480908624,2019-09-15
615,2018-01-09,2576, 26.398597405622603, 68002.78691688382,2019-09-16
616,2018-01-09,2567, 26.379559756254928, 67716.3298943064,2019-09-17
617,2018-01-09,2566, 26.449070164732444, 67868.31404270345,2019-09-18
618,2018-01-09,2556, 26.531981094595306, 67815.7436777856,2019-09-19
619,2018-01-09,2556, 26.40791842010339, 67498.63948178427,2019-09-20
620,2018-01-09,2546, 26.23041507242332, 66782.63677438977,2019-09-21
621,2018-01-09,2540, 26.03403176932092, 66126.44069407514,2019-09-22
622,2018-01-09,2546, 25.89577354493893, 65930.63944541452,2019-09-23
623,2018-01-09,2544, 25.889430679498613, 65862.71164864447,2019-09-24
624,2018-01-09,2561, 25.985960083235987, 66550.04377316736,2019-09-25
625,2018-01-09,2583, 26.14843604728014, 67541.4103101246,2019-09-26
626,2018-01-09,2591, 26.40682194623521, 68420.07566269542,2019-09-27
627,2018-01-09,2578, 26.63533880956034, 68665.90345104656,2019-09-28
628,2018-01-09,2584, 26.83022622256715, 69329.30455911352,2019-09-29
629,2018-01-09,2567, 27.145552654924337, 69682.63366519078,2019-09-30
630,2018-01-09,2563, 27.106226534584163, 69473.25860813921,2019-10-01
631,2018-01-09,2567, 27.216989842622983, 69866.0129260132,2019-10-02
632,2018-01-09,2564, 27.278118733196457, 69941.09643191572,2019-10-03
633,2018-01-09,2559, 27.435712804382497, 70207.98906641481,2019-10-04
634,2018-01-09,2546, 27.348878398221878, 69630.2444018729,2019-10-05
635,2018-01-09,2550, 27.240492541113966, 69463.25597984061,2019-10-06
636,2018-01-09,2540, 27.292498284554032, 69322.94564276724,2019-10-07
637,2018-01-09,2551, 27.341154257275992, 69747.28451031106,2019-10-08
638,2018-01-09,2558, 27.318860428142173, 69881.64497518768,2019-10-09
639,2018-01-09,2549, 27.552211572104056, 70230.58729729324,2019-10-10
640,2018-01-09,2546, 27.479661169092083, 69963.21733650845,2019-10-11
641,2018-01-09,2532, 27.567548438851475, 69801.03264717193,2019-10-12
642,2018-01-09,2521, 27.58991319721304, 69554.17117017407,2019-10-13
643,2018-01-09,2521, 27.445817405152095, 69190.90567838843,2019-10-14
644,2018-01-09,2516, 27.275428659460832, 68624.97850720346,2019-10-15
645,2018-01-09,2519, 27.371939851493238, 68949.91648591147,2019-10-16
646,2018-01-09,2510, 27.721963065106607, 69582.12729341758,2019-10-17
647,2018-01-09,2511, 27.80138918103305, 69809.28823357399,2019-10-18
648,2018-01-09,2501, 27.73748668847717, 69371.4542078814,2019-10-19
649,2018-01-09,2506, 27.651489863193646, 69294.63359716328,2019-10-20
650,2018-01-09,2510, 27.598669461523833, 69272.66034842482,2019-10-21
651,2018-01-09,2517, 27.854342414419882, 70109.37985709484,2019-10-22
652,2018-01-09,2519, 27.534264449640972, 69358.81214864561,2019-10-23
