Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2019-01-03,2019-02-01,2124, 14.734399471565029, 31295.864477604122
2019-01-04,2019-02-02,2119, 14.47047816960161, 30662.94324138581
2019-01-05,2019-02-03,2106, 14.80393678769965, 31177.09087489546
2019-01-06,2019-02-04,2112, 14.837828620482552, 31337.49404645915
2019-01-07,2019-02-05,2121, 14.756334128508781, 31298.184686567125
2019-01-08,2019-02-06,2107, 14.667613213520415, 30904.661040887513
2019-01-09,2019-02-07,2104, 15.12166111681983, 31815.974989788923
2019-01-10,2019-02-08,2080, 15.537073648339172, 32317.113188545478
2019-01-11,2019-02-09,2081, 15.529698596200516, 32317.302778693273
2019-01-12,2019-02-10,2082, 16.101816599179937, 33523.98215949263
2019-01-13,2019-02-11,2085, 16.254011677332624, 33889.61434723852
2019-01-14,2019-02-12,2098, 16.411768352877335, 34431.89000433665
2019-01-15,2019-02-13,2097, 16.3044830998723, 34190.501060432216
2019-01-16,2019-02-14,2099, 16.308861526690965, 34232.30034452434
2019-01-17,2019-02-15,2115, 16.645739776021315, 35205.73962628508
2019-01-18,2019-02-16,2116, 16.62986284763127, 35188.78978558777
2019-01-19,2019-02-17,2136, 16.855209397310855, 36002.72727265598
2019-01-20,2019-02-18,2132, 16.822023629473822, 35864.55437803819
2019-01-21,2019-02-19,2125, 16.88747868422525, 35885.892203978656
2019-01-22,2019-02-20,2132, 17.30351093003446, 36891.08530283347
2019-01-23,2019-02-21,2164, 17.726911361760603, 38361.036186849946
2019-01-24,2019-02-22,2156, 17.325685274168208, 37354.177451106654
2019-01-25,2019-02-23,2155, 17.60385734462754, 37936.31257767235
2019-01-26,2019-02-24,2154, 17.363971388647833, 37401.99437114743
2019-01-27,2019-02-25,2154, 17.748872864587074, 38231.07215032056
2019-01-28,2019-02-26,2148, 17.791125718014133, 38215.33804229436
2019-01-29,2019-02-27,2144, 17.757891956513923, 38072.920354765854
2019-01-30,2019-02-28,2154, 17.574297589634305, 37855.03700807229
2019-01-31,2019-03-01,2137, 16.99125377262321, 36310.3093120958
2019-02-01,2019-03-02,2133, 16.702836948140888, 35627.151210384516
2019-02-02,2019-03-03,2132, 16.635087525021856, 35466.0066033466
2019-02-03,2019-03-04,2132, 16.975524951064962, 36191.8191956705
2019-02-04,2019-03-05,2134, 17.022373296142337, 36325.74461396775
2019-02-05,2019-03-06,2143, 16.388504905171004, 35120.56601178146
2019-02-06,2019-03-07,2155, 17.272757680060874, 37222.792800531184
2019-02-07,2019-03-08,2146, 17.18773523985864, 36884.87982473664
2019-02-08,2019-03-09,2124, 16.471976014600724, 34986.477055011936
2019-02-09,2019-03-10,2128, 16.546158345470754, 35210.224959161766
2019-02-10,2019-03-11,2111, 16.217221972052716, 34234.55558300328
