Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2019-03-15,2019-04-13,171, 265.301464834873, 45366.550486763284
2019-03-16,2019-04-14,165, 268.68749252238445, 44333.436266193436
2019-03-17,2019-04-15,163, 268.46860821611887, 43760.38313922737
2019-03-18,2019-04-16,157, 272.0201723563977, 42707.167059954445
2019-03-19,2019-04-17,143, 280.5540152374987, 40119.22417896231
2019-03-20,2019-04-18,144, 280.0138731476974, 40321.99773326842
2019-03-21,2019-04-19,138, 287.11894323837487, 39622.41416689573
2019-03-22,2019-04-20,132, 292.9068194364506, 38663.70016561147
2019-03-23,2019-04-21,131, 290.5581479110283, 38063.11737634471
2019-03-24,2019-04-22,132, 285.44394979271175, 37678.60137263795
2019-03-25,2019-04-23,110, 321.45169621163967, 35359.68658328037
2019-03-26,2019-04-24,109, 322.1656343987968, 35116.05414946885
2019-03-27,2019-04-25,109, 317.5242320470827, 34610.141293132016
2019-03-28,2019-04-26,107, 323.95503606149714, 34663.18885858019
2019-03-29,2019-04-27,106, 320.4219073122637, 33964.72217509995
2019-03-30,2019-04-28,105, 319.2541544874973, 33521.68622118722
2019-03-31,2019-04-29,108, 311.9288575824533, 33688.31661890496
2019-04-01,2019-04-30,104, 317.18132854333066, 32986.85816850639
2019-04-02,2019-05-01,104, 310.33654121875674, 32275.000286750703
2019-04-03,2019-05-02,109, 303.90633911984304, 33125.79096406289
2019-04-04,2019-05-03,109, 302.67415886857975, 32991.48331667519
2019-04-05,2019-05-04,124, 272.198889874669, 33752.66234445896
2019-04-06,2019-05-05,115, 284.96633228522967, 32771.12821280141
2019-04-07,2019-05-06,124, 267.39916844343077, 33157.49688698541
2019-04-08,2019-05-07,122, 266.79926507664663, 32549.51033935089
2019-04-09,2019-05-08,125, 264.06039157915916, 33007.5489473949
2019-04-10,2019-05-09,123, 266.19218233546184, 32741.63842726181
2019-04-11,2019-05-10,124, 267.82733031386664, 33210.58895891946
2019-04-12,2019-05-11,126, 261.8244765404902, 32989.88404410177
2019-04-13,2019-05-12,127, 258.9944210344196, 32892.29147137129
2019-04-14,2019-05-13,122, 265.23682753045927, 32358.89295871603
2019-04-15,2019-05-14,119, 266.81028436757964, 31750.42383974198
2019-04-16,2019-05-15,123, 263.09838691886887, 32361.10159102087
2019-04-17,2019-05-16,118, 270.66053350119495, 31937.942953141002
2019-04-18,2019-05-17,131, 256.23838715574925, 33567.22871740315
2019-04-19,2019-05-18,122, 268.5804937730649, 32766.82024031392
2019-04-20,2019-05-19,119, 271.2846864217165, 32282.877684184266
2019-04-21,2019-05-20,129, 258.84731967090283, 33391.304237546465
2019-04-22,2019-05-21,135, 248.2537990474918, 33514.262871411396
2019-04-23,2019-05-22,132, 250.24832487583856, 33032.77888361069
2019-04-24,2019-05-23,117, 266.34078520058785, 31161.871868468777
2019-04-25,2019-05-24,119, 266.94015384554064, 31765.878307619336
2019-04-26,2019-05-25,116, 265.77808724226577, 30830.258120102826
2019-04-27,2019-05-26,117, 256.0923348918737, 29962.803182349224
2019-04-28,2019-05-27,115, 257.82107192543117, 29649.423271424585
2019-04-29,2019-05-28,121, 249.99186660837185, 30249.015859612995
2019-04-30,2019-05-29,115, 256.4319801929889, 29489.67772219372
2019-05-01,2019-05-30,116, 260.82599723176264, 30255.815678884468
2019-05-02,2019-05-31,120, 258.1379720357693, 30976.556644292312
2019-05-03,2019-06-01,123, 252.32983109400269, 31036.56922456233
2019-05-04,2019-06-02,128, 248.04847506761433, 31750.204808654635
2019-05-05,2019-06-03,127, 249.19103479597973, 31647.261419089427
2019-05-06,2019-06-04,129, 247.9539067902312, 31986.053975939823
2019-05-07,2019-06-05,132, 244.80642218246237, 32314.447728085033
2019-05-08,2019-06-06,126, 248.6446101282987, 31329.220876165637
2019-05-09,2019-06-07,126, 251.10344328923426, 31639.033854443518
2019-05-10,2019-06-08,127, 250.94590030344193, 31870.129338537125
2019-05-11,2019-06-09,124, 255.10541540200097, 31633.07150984812
2019-05-12,2019-06-10,121, 257.5048199222986, 31158.083210598135
2019-05-13,2019-06-11,121, 259.1090591550589, 31352.19615776213
2019-05-14,2019-06-12,119, 261.48332927065707, 31116.51618320819
2019-05-15,2019-06-13,117, 267.32421409186003, 31276.933048747625
2019-05-16,2019-06-14,130, 258.76143154552994, 33638.98610091889
2019-05-17,2019-06-15,126, 258.2154998991984, 32535.152987298996
2019-05-18,2019-06-16,131, 249.49075126205514, 32683.288415329225
