day,clustering,Nnodes,L/N,Firstday,First_Time
121,0.21520292520422676,514,2.0583657587548636,2018-01-09,2018-05-10
122,0.2164248007443671,527,2.0455407969639468,2018-01-09,2018-05-11
123,0.21275080174309904,514,2.0214007782101167,2018-01-09,2018-05-12
124,0.21724327972814336,517,2.0483558994197293,2018-01-09,2018-05-13
125,0.22394499403939183,514,2.036964980544747,2018-01-09,2018-05-14
126,0.2216112570319556,510,2.0392156862745097,2018-01-09,2018-05-15
127,0.2144675169642633,506,2.015810276679842,2018-01-09,2018-05-16
128,0.20185613796943977,489,1.9734151329243355,2018-01-09,2018-05-17
129,0.2086185794837441,475,1.9978947368421052,2018-01-09,2018-05-18
130,0.22722696887163293,457,2.0284463894967177,2018-01-09,2018-05-19
131,0.2316705605132018,455,2.0307692307692307,2018-01-09,2018-05-20
132,0.23608127449638833,439,2.0546697038724373,2018-01-09,2018-05-21
133,0.24720614935516583,444,2.036036036036036,2018-01-09,2018-05-22
134,0.23314752799685673,431,2.039443155452436,2018-01-09,2018-05-23
135,0.20647166165340447,437,2.045766590389016,2018-01-09,2018-05-24
136,0.20171111005666503,437,2.034324942791762,2018-01-09,2018-05-25
137,0.19589596917225666,424,2.0330188679245285,2018-01-09,2018-05-26
138,0.19888247298307232,439,2.0546697038724373,2018-01-09,2018-05-27
139,0.20703172585837917,435,2.0735632183908046,2018-01-09,2018-05-28
140,0.20840033195683777,444,2.0720720720720722,2018-01-09,2018-05-29
141,0.20514477077195964,459,2.0675381263616557,2018-01-09,2018-05-30
142,0.20649249070926196,463,2.1079913606911447,2018-01-09,2018-05-31
143,0.21239030370268502,461,2.110629067245119,2018-01-09,2018-06-01
144,0.2105080171430606,465,2.098924731182796,2018-01-09,2018-06-02
145,0.20535006214522702,465,2.1053763440860216,2018-01-09,2018-06-03
146,0.20505051256853218,471,2.140127388535032,2018-01-09,2018-06-04
147,0.2045244180857415,465,2.152688172043011,2018-01-09,2018-06-05
148,0.19997173818838918,466,2.1373390557939915,2018-01-09,2018-06-06
149,0.20853048232525856,472,2.152542372881356,2018-01-09,2018-06-07
150,0.20334012297390425,478,2.1380753138075312,2018-01-09,2018-06-08
151,0.20782738087138702,482,2.1307053941908713,2018-01-09,2018-06-09
152,0.20598897935847896,478,2.1757322175732217,2018-01-09,2018-06-10
