Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2017-02-21,2017-03-22,1, 3.3139573987250563, 3.3139573987250563
2017-02-22,2017-03-23,1, 3.1813991027760538, 3.1813991027760538
2017-02-23,2017-03-24,1, 3.0541431386650113, 3.0541431386650113
2017-02-24,2017-03-25,1, 2.931977413118411, 2.931977413118411
2017-02-25,2017-03-26,1, 2.8146983165936743, 2.8146983165936743
2017-02-26,2017-03-27,1, 2.702110383929927, 2.702110383929927
2017-02-27,2017-03-28,1, 2.5940259685727303, 2.5940259685727303
2017-02-28,2017-03-29,1, 2.4902649298298205, 2.4902649298298205
2017-03-01,2017-03-30,1, 2.390654332636628, 2.390654332636628
2017-03-02,2017-03-31,1, 2.2950281593311628, 2.2950281593311628
2017-03-03,2017-04-01,1, 2.2032270329579164, 2.2032270329579164
2017-03-04,2017-04-02,1, 2.1150979516395996, 2.1150979516395996
2017-03-05,2017-04-03,1, 2.030494033574015, 2.030494033574015
2017-03-06,2017-04-04,1, 1.9492742722310545, 1.9492742722310545
2017-03-07,2017-04-05,1, 1.8713033013418123, 1.8713033013418123
2017-03-08,2017-04-06,1, 1.7964511692881397, 1.7964511692881397
2017-03-09,2017-04-07,1, 1.724593122516614, 1.724593122516614
2017-03-10,2017-04-08,1, 1.6556093976159494, 1.6556093976159494
2017-03-11,2017-04-09,1, 1.5893850217113115, 1.5893850217113115
2017-03-12,2017-04-10,1, 1.525809620842859, 1.525809620842859
2017-03-13,2017-04-11,1, 1.4647772360091447, 1.4647772360091447
2017-03-14,2017-04-12,1, 1.4061861465687786, 1.4061861465687786
2017-03-15,2017-04-13,1, 1.3499387007060275, 1.3499387007060275
2017-03-16,2017-04-14,1, 1.2959411526777864, 1.2959411526777864
2017-03-17,2017-04-15,1, 1.244103506570675, 1.244103506570675
2017-03-18,2017-04-16,1, 1.1943393663078479, 1.1943393663078479
2017-06-25,2017-07-24,2, 5.928330666666667, 11.856661333333333
2017-07-25,2017-08-23,2, 1.587229876509951, 3.174459753019902
2017-07-26,2017-08-24,2, 1.5237406814495529, 3.0474813628991058
2017-07-27,2017-08-25,1, 1.4624768119182685, 1.4624768119182685
2017-07-28,2017-08-26,1, 1.4039777394415376, 1.4039777394415376
2017-07-29,2017-08-27,1, 1.3478186298638761, 1.3478186298638761
2017-07-30,2017-08-28,1, 1.293905884669321, 1.293905884669321
2017-07-31,2017-08-29,1, 1.2421496492825481, 1.2421496492825481
2017-08-01,2017-08-30,1, 1.1924636633112462, 1.1924636633112462
2017-08-02,2017-08-31,1, 1.1447651167787962, 1.1447651167787962
2017-08-03,2017-09-01,1, 1.0989745121076444, 1.0989745121076444
2017-08-04,2017-09-02,1, 1.0550155316233385, 1.0550155316233385
2017-08-05,2017-09-03,1, 1.012814910358405, 1.012814910358405
2017-08-06,2017-09-04,0, 0, 0
2017-08-07,2017-09-05,0, 0, 0
2017-08-28,2017-09-26,1, 10.123622207150815, 10.123622207150815
2017-08-29,2017-09-27,1, 9.718677318864781, 9.718677318864781
2017-08-30,2017-09-28,1, 9.32993022611019, 9.32993022611019
2017-08-31,2017-09-29,1, 8.956733017065782, 8.956733017065782
2017-09-01,2017-09-30,1, 8.598463696383151, 8.598463696383151
2017-09-02,2017-10-01,1, 8.254525148527824, 8.254525148527824
2017-09-03,2017-10-02,1, 7.92434414258671, 7.92434414258671
2017-09-04,2017-10-03,1, 7.607370376883242, 7.607370376883242
2017-09-05,2017-10-04,1, 7.303075561807912, 7.303075561807912
2017-09-06,2017-10-05,1, 7.010952539335595, 7.010952539335595
2017-09-07,2017-10-06,1, 6.730514437762171, 6.730514437762171
2017-09-08,2017-10-07,1, 6.4612938602516845, 6.4612938602516845
2017-09-09,2017-10-08,1, 6.202842105841617, 6.202842105841617
2017-09-10,2017-10-09,1, 5.954728421607952, 5.954728421607952
2017-09-11,2017-10-10,1, 5.716539284743633, 5.716539284743633
2017-09-12,2017-10-11,1, 5.487877713353887, 5.487877713353887
2017-09-13,2017-10-12,1, 5.268362604819732, 5.268362604819732
