Firstdate,Lastdate,Nusers,Mean_dr,Sum_dr
2019-09-30,2019-10-29,11, 41.41518377868528, 455.56702156553814
2019-10-01,2019-10-30,12, 39.72320347985512, 476.67844175826144
2019-10-02,2019-10-31,12, 38.72179066287212, 464.66148795446543
2019-10-03,2019-11-01,11, 40.88803972874245, 449.76843701616696
2019-10-04,2019-11-02,13, 35.23384390470087, 458.0399707611113
2019-10-05,2019-11-03,14, 34.498873802957334, 482.98423324140265
2019-10-06,2019-11-04,12, 37.383550257540584, 448.60260309048704
2019-10-07,2019-11-05,11, 35.09889213185033, 386.08781345035356
2019-10-08,2019-11-06,12, 35.44186409686095, 425.30236916233133
2019-10-09,2019-11-07,9, 46.43595931753665, 417.9236338578298
2019-10-10,2019-11-08,16, 34.707290776206776, 555.3166524193084
2019-10-11,2019-11-09,16, 34.44778852138094, 551.1646163420951
2019-10-12,2019-11-10,15, 35.12799886380386, 526.9199829570579
2019-10-13,2019-11-11,16, 33.44287907441452, 535.0860651906323
2019-10-14,2019-11-12,18, 30.129596255233317, 542.3327325941997
2019-10-15,2019-11-13,17, 30.750556132068194, 522.7594542451593
2019-10-16,2019-11-14,17, 30.80858414188922, 523.7459304121168
2019-10-17,2019-11-15,16, 32.16045977674726, 514.5673564279562
2019-10-18,2019-11-16,16, 31.264803788313984, 500.23686061302374
2019-10-19,2019-11-17,16, 29.976506583087993, 479.6241053294079
2019-10-20,2019-11-18,16, 29.298425709825658, 468.7748113572105
2019-10-21,2019-11-19,16, 28.722270735796325, 459.5563317727412
2019-10-22,2019-11-20,17, 26.833522025250883, 456.169874429265
2019-10-23,2019-11-21,16, 27.34560153026469, 437.52962448423506
2019-10-24,2019-11-22,17, 27.424662573423742, 466.2192637482036
2019-10-25,2019-11-23,15, 29.371324470397532, 440.56986705596296
2019-10-26,2019-11-24,18, 24.935661078467476, 448.84189941241453
2019-10-27,2019-11-25,16, 27.663878822696113, 442.6220611631378
2019-10-28,2019-11-26,17, 26.600297717690918, 452.2050612007456
2019-10-29,2019-11-27,16, 28.666038819388405, 458.6566211102145
2019-10-30,2019-11-28,16, 27.988578921866598, 447.81726274986556
2019-10-31,2019-11-29,13, 30.986360220367697, 402.82268286478006
2019-11-01,2019-11-30,15, 26.93218311147248, 403.9827466720872
