Firstdate,Lastdate,Nusers,Nusers_core,Ncore_frac,Nusers_per,Nlinks,Nlinks_core,Nlinks_per,Nlinks_core_per,L/N core,L/N per,L/N core-per
2018-10-31,2018-11-29,994,62,6.237424547283702,932,3550,1147,461,1942,18.5,0.4946351931330472,2.351089588377724
2018-11-01,2018-11-30,984,54,5.487804878048781,930,3459,1006,590,1863,18.62962962962963,0.6344086021505376,2.385403329065301
2018-11-02,2018-12-01,949,52,5.47945205479452,897,3279,964,568,1747,18.53846153846154,0.633221850613155,2.3293333333333335
2018-11-03,2018-12-02,924,49,5.303030303030303,875,3196,902,601,1693,18.408163265306122,0.6868571428571428,2.3416320885200554
2018-11-04,2018-12-03,934,52,5.56745182012848,882,3210,916,543,1751,17.615384615384617,0.6156462585034014,2.3346666666666667
2018-11-05,2018-12-04,918,52,5.664488017429194,866,3172,903,537,1732,17.365384615384617,0.6200923787528868,2.350067842605156
2018-11-06,2018-12-05,914,51,5.579868708971554,863,3173,873,573,1727,17.11764705882353,0.6639629200463499,2.375515818431912
2018-11-07,2018-12-06,899,48,5.339265850945495,851,3104,807,605,1692,16.8125,0.7109283196239718,2.389830508474576
2018-11-08,2018-12-07,880,45,5.113636363636363,835,3021,763,660,1598,16.955555555555556,0.7904191616766467,2.3569321533923304
2018-11-09,2018-12-08,844,45,5.331753554502369,799,2804,709,613,1482,15.755555555555556,0.7672090112640801,2.2941176470588234
2018-11-10,2018-12-09,808,42,5.198019801980198,766,2642,658,606,1378,15.666666666666666,0.7911227154046997,2.285240464344942
2018-11-11,2018-12-10,793,44,5.548549810844893,749,2579,700,542,1337,15.909090909090908,0.7236315086782377,2.2209302325581395
2018-11-12,2018-12-11,785,43,5.477707006369426,742,2553,654,556,1343,15.209302325581396,0.7493261455525606,2.2840136054421767
2018-11-13,2018-12-12,811,52,6.411837237977805,759,2600,771,409,1420,14.826923076923077,0.538866930171278,2.154779969650986
2018-11-14,2018-12-13,822,53,6.447688564476886,769,2656,775,357,1524,14.622641509433961,0.46423927178153446,2.2151162790697674
2018-11-15,2018-12-14,809,48,5.933250927070457,761,2654,749,398,1507,15.604166666666666,0.5229960578186597,2.2661654135338347
2018-11-16,2018-12-15,783,52,6.641123882503193,731,2573,780,327,1466,15.0,0.4473324213406293,2.1979010494752624
2018-11-17,2018-12-16,789,50,6.337135614702155,739,2585,743,336,1506,14.86,0.4546684709066306,2.234421364985163
2018-11-18,2018-12-17,787,47,5.972045743329097,740,2588,728,358,1502,15.48936170212766,0.4837837837837838,2.2451420029895366
2018-11-19,2018-12-18,782,48,6.138107416879795,734,2602,741,328,1533,15.4375,0.44686648501362397,2.251101321585903
2018-11-20,2018-12-19,770,43,5.584415584415584,727,2534,658,366,1510,15.30232558139535,0.5034387895460798,2.277526395173454
2018-11-21,2018-12-20,760,41,5.394736842105263,719,2503,637,381,1485,15.536585365853659,0.5299026425591099,2.295208655332303
2018-11-22,2018-12-21,755,42,5.562913907284768,713,2526,632,367,1527,15.047619047619047,0.514726507713885,2.3492307692307692
2018-11-23,2018-12-22,739,43,5.818673883626523,696,2627,668,380,1579,15.534883720930232,0.5459770114942529,2.4827044025157234
2018-11-24,2018-12-23,742,43,5.795148247978437,699,2741,704,383,1654,16.372093023255815,0.547925608011445,2.5643410852713178
2018-11-25,2018-12-24,763,46,6.028833551769331,717,2889,797,400,1692,17.32608695652174,0.5578800557880056,2.5443609022556393
2018-11-26,2018-12-25,777,47,6.048906048906049,730,3001,889,380,1732,18.914893617021278,0.5205479452054794,2.573551263001486
